country,year,sex,age_group,suicides_no,population,suicides_ratio
Aruba,2015,male,55-74 years,1.0,10400.0,0.096
Aruba,2015,male,75+ years,0.0,1699.0,0.0
Australia,2006,female,15-24 years,68.0,1388615.0,0.049
Australia,2006,female,25-34 years,74.0,1444570.0,0.051
Australia,2006,female,35-54 years,195.0,2934459.0,0.066
Australia,2006,female,5-14 years,1.0,1332380.0,0.001
Australia,2006,female,55-74 years,115.0,1798232.0,0.064
Australia,2006,female,75+ years,41.0,743060.0,0.055
Australia,2006,male,15-24 years,230.0,1446866.0,0.159
Australia,2006,male,25-34 years,277.0,1442942.0,0.192
Australia,2006,male,35-54 years,686.0,2894571.0,0.237
Australia,2006,male,5-14 years,7.0,1404186.0,0.005
Australia,2006,male,55-74 years,309.0,1772439.0,0.174
Australia,2006,male,75+ years,114.0,506926.0,0.225
Australia,2007,female,15-24 years,66.0,1440419.0,0.046
Australia,2007,female,25-34 years,90.0,1460752.0,0.062
Australia,2007,female,35-54 years,219.0,3025248.0,0.07200000000000001
Australia,2007,female,5-14 years,4.0,1337384.0,0.003
Australia,2007,female,55-74 years,118.0,1911478.0,0.062
Australia,2007,female,75+ years,33.0,770691.0,0.043000000000000003
Australia,2007,male,15-24 years,234.0,1515524.0,0.154
Australia,2007,male,25-34 years,341.0,1470431.0,0.232
Australia,2007,male,35-54 years,687.0,2977977.0,0.231
Australia,2007,male,5-14 years,8.0,1408182.0,0.006
Australia,2007,male,55-74 years,305.0,1877160.0,0.162
Australia,2007,male,75+ years,124.0,539184.0,0.23
Australia,2008,female,15-24 years,60.0,1473105.0,0.041
Australia,2008,female,25-34 years,90.0,1494968.0,0.060000000000000005
Australia,2008,female,35-54 years,231.0,3066609.0,0.075
Australia,2008,female,5-14 years,3.0,1340626.0,0.002
Australia,2008,female,55-74 years,97.0,1974752.0,0.049
Australia,2008,female,75+ years,27.0,781742.0,0.034999999999999996
Australia,2008,male,15-24 years,228.0,1560974.0,0.146
Australia,2008,male,25-34 years,354.0,1512033.0,0.23399999999999999
Australia,2008,male,35-54 years,765.0,3015761.0,0.254
Australia,2008,male,5-14 years,8.0,1411650.0,0.006
Australia,2008,male,55-74 years,357.0,1935161.0,0.184
Australia,2008,male,75+ years,121.0,552931.0,0.219
Australia,2009,female,15-24 years,66.0,1506719.0,0.044
Australia,2009,female,25-34 years,103.0,1541393.0,0.067
Australia,2009,female,35-54 years,221.0,3104929.0,0.07100000000000001
Australia,2009,female,5-14 years,3.0,1345910.0,0.002
Australia,2009,female,55-74 years,116.0,2037989.0,0.057
Australia,2009,female,75+ years,43.0,792218.0,0.054
Australia,2009,male,15-24 years,210.0,1605456.0,0.131
Australia,2009,male,25-34 years,336.0,1567118.0,0.214
Australia,2009,male,35-54 years,755.0,3051649.0,0.247
Australia,2009,male,5-14 years,0.0,1417269.0,0.0
Australia,2009,male,55-74 years,349.0,1991883.0,0.175
Australia,2009,male,75+ years,135.0,566784.0,0.23800000000000002
Australia,2010,female,15-24 years,80.0,1521652.0,0.053
Australia,2010,female,25-34 years,94.0,1579905.0,0.059
Australia,2010,female,35-54 years,228.0,3132534.0,0.073
Australia,2010,female,5-14 years,4.0,1348336.0,0.003
Australia,2010,female,55-74 years,104.0,2103428.0,0.049
Australia,2010,female,75+ years,43.0,805401.0,0.053
Australia,2010,male,15-24 years,222.0,1618860.0,0.13699999999999998
Australia,2010,male,25-34 years,311.0,1606526.0,0.194
Australia,2010,male,35-54 years,816.0,3076853.0,0.265
Australia,2010,male,5-14 years,7.0,1420846.0,0.005
Australia,2010,male,55-74 years,360.0,2051197.0,0.176
Australia,2010,male,75+ years,151.0,582009.0,0.259
Australia,2011,female,15-24 years,93.0,1495053.0,0.062
Australia,2011,female,25-34 years,85.0,1584036.0,0.054
Australia,2011,female,35-54 years,230.0,3124328.0,0.074
Australia,2011,female,5-14 years,9.0,1351751.0,0.007
Australia,2011,female,55-74 years,118.0,2139108.0,0.055
Australia,2011,female,75+ years,45.0,817927.0,0.055
Australia,2011,male,15-24 years,242.0,1570069.0,0.154
Australia,2011,male,25-34 years,347.0,1610295.0,0.215
Australia,2011,male,35-54 years,704.0,3072726.0,0.229
Australia,2011,male,5-14 years,7.0,1423748.0,0.005
Australia,2011,male,55-74 years,366.0,2104816.0,0.174
Australia,2011,male,75+ years,146.0,588053.0,0.248
Australia,2012,female,15-24 years,109.0,1503934.0,0.07200000000000001
Australia,2012,female,25-34 years,98.0,1630077.0,0.060000000000000005
Australia,2012,female,35-54 years,258.0,3149749.0,0.082
Australia,2012,female,5-14 years,10.0,1368580.0,0.007
Australia,2012,female,55-74 years,123.0,2206179.0,0.056
Australia,2012,female,75+ years,52.0,832122.0,0.062
Australia,2012,male,15-24 years,217.0,1579672.0,0.13699999999999998
Australia,2012,male,25-34 years,351.0,1657638.0,0.212
Australia,2012,male,35-54 years,802.0,3098534.0,0.259
Australia,2012,male,5-14 years,6.0,1442602.0,0.004
Australia,2012,male,55-74 years,396.0,2162980.0,0.183
Australia,2012,male,75+ years,158.0,606842.0,0.25999999999999995
Australia,2013,female,15-24 years,95.0,1512779.0,0.063
Australia,2013,female,25-34 years,95.0,1676648.0,0.057
Australia,2013,female,35-54 years,275.0,3171477.0,0.087
Australia,2013,female,5-14 years,6.0,1389383.0,0.004
Australia,2013,female,55-74 years,145.0,2276104.0,0.064
Australia,2013,female,75+ years,48.0,847577.0,0.057
Australia,2013,male,15-24 years,267.0,1591539.0,0.16799999999999998
Australia,2013,male,25-34 years,329.0,1702401.0,0.193
Australia,2013,male,35-54 years,754.0,3118829.0,0.242
Australia,2013,male,5-14 years,16.0,1464302.0,0.011
Australia,2013,male,55-74 years,418.0,2221866.0,0.188
Australia,2013,male,75+ years,160.0,627275.0,0.255
Australia,2014,female,15-24 years,96.0,1520955.0,0.063
Australia,2014,female,25-34 years,119.0,1716803.0,0.06899999999999999
Australia,2014,female,35-54 years,277.0,3189475.0,0.087
Australia,2014,female,5-14 years,15.0,1408758.0,0.011
Australia,2014,female,55-74 years,157.0,2344644.0,0.067
Australia,2014,female,75+ years,45.0,865915.0,0.052
Australia,2014,male,15-24 years,271.0,1604935.0,0.16899999999999998
Australia,2014,male,25-34 years,404.0,1730968.0,0.23299999999999998
Australia,2014,male,35-54 years,866.0,3130341.0,0.277
Australia,2014,male,5-14 years,6.0,1485754.0,0.004
Australia,2014,male,55-74 years,471.0,2279114.0,0.207
Australia,2014,male,75+ years,164.0,649925.0,0.252
Australia,2015,female,15-24 years,110.0,1526305.0,0.07200000000000001
Australia,2015,female,25-34 years,119.0,1747715.0,0.068
Australia,2015,female,35-54 years,294.0,3203643.0,0.092
Australia,2015,female,5-14 years,8.0,1428159.0,0.006
Australia,2015,female,55-74 years,152.0,2411343.0,0.063
Australia,2015,female,75+ years,52.0,884347.0,0.059
Australia,2015,male,15-24 years,281.0,1608990.0,0.175
Australia,2015,male,25-34 years,423.0,1762265.0,0.24000000000000002
Australia,2015,male,35-54 years,944.0,3149299.0,0.3
Australia,2015,male,5-14 years,6.0,1507502.0,0.004
Australia,2015,male,55-74 years,457.0,2337430.0,0.196
Australia,2015,male,75+ years,181.0,673787.0,0.26899999999999996
Austria,2006,female,15-24 years,16.0,499388.0,0.032
Austria,2006,female,25-34 years,18.0,542011.0,0.033
Austria,2006,female,35-54 years,91.0,1265873.0,0.07200000000000001
Austria,2006,female,5-14 years,0.0,441264.0,0.0
Austria,2006,female,55-74 years,91.0,876832.0,0.104
Austria,2006,female,75+ years,81.0,425747.0,0.19
Austria,2006,male,15-24 years,77.0,517546.0,0.149
Austria,2006,male,25-34 years,103.0,545467.0,0.189
Austria,2006,male,35-54 years,382.0,1281251.0,0.298
Austria,2006,male,5-14 years,1.0,464213.0,0.002
Austria,2006,male,55-74 years,266.0,791509.0,0.33599999999999997
Austria,2006,male,75+ years,171.0,218168.0,0.784
Austria,2007,female,15-24 years,15.0,499804.0,0.030000000000000002
Austria,2007,female,25-34 years,25.0,539763.0,0.046
Austria,2007,female,35-54 years,88.0,1277479.0,0.06899999999999999
Austria,2007,female,5-14 years,0.0,433193.0,0.0
Austria,2007,female,55-74 years,109.0,885212.0,0.12300000000000001
Austria,2007,female,75+ years,80.0,428921.0,0.187
Austria,2007,male,15-24 years,93.0,517817.0,0.18000000000000002
Austria,2007,male,25-34 years,99.0,542760.0,0.182
Austria,2007,male,35-54 years,331.0,1291260.0,0.256
Austria,2007,male,5-14 years,2.0,455269.0,0.004
Austria,2007,male,55-74 years,273.0,800509.0,0.34099999999999997
Austria,2007,male,75+ years,170.0,225285.0,0.755
Austria,2008,female,15-24 years,18.0,500763.0,0.036000000000000004
Austria,2008,female,25-34 years,18.0,539635.0,0.033
Austria,2008,female,35-54 years,112.0,1285210.0,0.087
Austria,2008,female,5-14 years,2.0,425776.0,0.005
Austria,2008,female,55-74 years,82.0,895882.0,0.092
Austria,2008,female,75+ years,72.0,430534.0,0.16699999999999998
Austria,2008,male,15-24 years,59.0,519137.0,0.114
Austria,2008,male,25-34 years,86.0,542606.0,0.158
Austria,2008,male,35-54 years,340.0,1295943.0,0.262
Austria,2008,male,5-14 years,2.0,447151.0,0.004
Austria,2008,male,55-74 years,276.0,811538.0,0.34
Austria,2008,male,75+ years,200.0,231083.0,0.865
Austria,2009,female,15-24 years,11.0,501225.0,0.022
Austria,2009,female,25-34 years,18.0,539304.0,0.033
Austria,2009,female,35-54 years,101.0,1289816.0,0.078
Austria,2009,female,5-14 years,5.0,418410.0,0.012
Austria,2009,female,55-74 years,103.0,908213.0,0.11299999999999999
Austria,2009,female,75+ years,68.0,430726.0,0.158
Austria,2009,male,15-24 years,72.0,519901.0,0.13799999999999998
Austria,2009,male,25-34 years,99.0,542799.0,0.182
Austria,2009,male,35-54 years,332.0,1297322.0,0.256
Austria,2009,male,5-14 years,3.0,439629.0,0.007
Austria,2009,male,55-74 years,279.0,823727.0,0.339
Austria,2009,male,75+ years,187.0,235822.0,0.7929999999999999
Austria,2010,female,15-24 years,14.0,499638.0,0.028
Austria,2010,female,25-34 years,25.0,539299.0,0.046
Austria,2010,female,35-54 years,102.0,1291400.0,0.079
Austria,2010,female,5-14 years,1.0,412838.0,0.002
Austria,2010,female,55-74 years,90.0,923411.0,0.097
Austria,2010,female,75+ years,62.0,431151.0,0.14400000000000002
Austria,2010,male,15-24 years,91.0,518657.0,0.175
Austria,2010,male,25-34 years,85.0,542986.0,0.157
Austria,2010,male,35-54 years,325.0,1296607.0,0.251
Austria,2010,male,5-14 years,2.0,433795.0,0.005
Austria,2010,male,55-74 years,287.0,838208.0,0.342
Austria,2010,male,75+ years,180.0,240431.0,0.749
Austria,2011,female,15-24 years,23.0,498172.0,0.046
Austria,2011,female,25-34 years,23.0,542031.0,0.041999999999999996
Austria,2011,female,35-54 years,95.0,1288452.0,0.074
Austria,2011,female,5-14 years,1.0,407570.0,0.002
Austria,2011,female,55-74 years,113.0,942311.0,0.12000000000000001
Austria,2011,female,75+ years,58.0,431128.0,0.135
Austria,2011,male,15-24 years,67.0,518095.0,0.129
Austria,2011,male,25-34 years,97.0,546027.0,0.178
Austria,2011,male,35-54 years,336.0,1292255.0,0.25999999999999995
Austria,2011,male,5-14 years,3.0,428198.0,0.007
Austria,2011,male,55-74 years,276.0,855700.0,0.323
Austria,2011,male,75+ years,196.0,245207.0,0.799
Austria,2012,female,15-24 years,6.0,497838.0,0.012
Austria,2012,female,25-34 years,20.0,547787.0,0.037
Austria,2012,female,35-54 years,87.0,1283769.0,0.068
Austria,2012,female,5-14 years,1.0,402730.0,0.002
Austria,2012,female,55-74 years,99.0,962372.0,0.103
Austria,2012,female,75+ years,76.0,430436.0,0.177
Austria,2012,male,15-24 years,66.0,519503.0,0.127
Austria,2012,male,25-34 years,99.0,553047.0,0.179
Austria,2012,male,35-54 years,332.0,1286522.0,0.258
Austria,2012,male,5-14 years,3.0,422849.0,0.007
Austria,2012,male,55-74 years,298.0,874391.0,0.34099999999999997
Austria,2012,male,75+ years,189.0,250032.0,0.756
Austria,2013,female,15-24 years,20.0,496526.0,0.04
Austria,2013,female,25-34 years,25.0,556475.0,0.045000000000000005
Austria,2013,female,35-54 years,94.0,1279480.0,0.073
Austria,2013,female,5-14 years,3.0,400256.0,0.007
Austria,2013,female,55-74 years,118.0,981829.0,0.12000000000000001
Austria,2013,female,75+ years,64.0,431074.0,0.148
Austria,2013,male,15-24 years,54.0,518852.0,0.104
Austria,2013,male,25-34 years,75.0,563630.0,0.133
Austria,2013,male,35-54 years,317.0,1282009.0,0.247
Austria,2013,male,5-14 years,1.0,420342.0,0.002
Austria,2013,male,55-74 years,299.0,893602.0,0.335
Austria,2013,male,75+ years,221.0,255540.0,0.865
Austria,2014,female,15-24 years,17.0,493605.0,0.034
Austria,2014,female,25-34 years,29.0,566622.0,0.051
Austria,2014,female,35-54 years,93.0,1276047.0,0.073
Austria,2014,female,5-14 years,0.0,399408.0,0.0
Austria,2014,female,55-74 years,108.0,993973.0,0.10900000000000001
