country,year,forest_area,adjusted_nni,inflation
Croatia,2010,34.31,47878,1.03
Cyprus,2010,18.71,22242,2.43
Denmark,2010,14.66,266061,2.31
Ecuador,2010,52.46,54659,3.55
El Salvador,2010,30.35,15990,1.18
Estonia,2010,55.11,15124,2.97
Fiji,2010,58.74,2745,3.69
Finland,2010,73.19,204892,1.18
France,2010,29.99,2231200,1.53
Germany,2010,32.73,2844811,1.1
Greece,2010,30.27,240151,4.71
Guatemala,2010,34.74,34166,3.86
Guyana,2010,94.08,2937,3.73
Hungary,2010,22.6,101872,4.86
Ireland,2010,10.46,154171,-0.92
Italy,2010,30.53,1754618,1.53
Jamaica,2010,51.57,11641,12.61
Japan,2010,68.49,4414076,-0.73
Kazakhstan,2010,1.14,93954,7.4
Kuwait,2010,0.35,104832,4.5
Latvia,2010,54.19,18148,-1.08
Lithuania,2010,34.62,31518,1.32
Luxembourg,2010,34.45,32012,2.27
Maldives,2010,2.73,2027,6.15
Mauritius,2010,18.91,8329,2.93
Mexico,2010,34.44,842233,4.16
Mongolia,2010,9.11,5061,10.05
Montenegro,2010,61.49,3661,0.65
Netherlands,2010,11.07,698321,1.28
New Zealand,2010,37.4,115878,2.3
Nicaragua,2010,34.8,7645,5.46
Norway,2010,33.13,334042,2.42
Oman,2010,0.01,29637,3.26
Panama,2010,58.22,25419,3.49
Paraguay,2010,49.26,22925,4.65
Poland,2010,30.46,403250,2.58
Qatar,2010,0.0,79614,-2.43
Romania,2010,28.32,133080,6.09
Russian Federation,2010,49.77,1206864,6.85
Serbia,2010,31.02,33997,6.14
Seychelles,2010,73.26,810,-2.4
Singapore,2010,25.27,205077,2.82
Slovenia,2010,61.9,37864,1.8
South Africa,2010,14.36,340422,4.09
Spain,2010,37.09,1186008,1.8
Sri Lanka,2010,33.55,52613,6.22
Suriname,2010,98.08,2998,6.94
Sweden,2010,68.92,423548,1.16
Switzerland,2010,31.25,499183,0.69
Thailand,2010,39.29,270540,3.25
Trinidad and Tobago,2010,45.3,15367,10.55
Ukraine,2010,16.48,113053,9.37
United Arab Emirates,2010,4.47,261133,0.88
Uruguay,2010,9.89,34220,6.7
Armenia,2011,11.6,9081,7.65
Aruba,2011,2.33,2035,4.32
Australia,2011,16.96,1078030,3.3
Austria,2011,46.86,357567,3.29
Azerbaijan,2011,12.6,42951,7.86
Bahrain,2011,0.7,15953,-0.4
Barbados,2011,14.65,3852,9.43
Belgium,2011,22.78,421483,3.53
Belize,2011,60.49,1028,1.6
Brazil,2011,61.02,2210996,6.64
Brunei Darussalam,2011,72.11,12513,0.14
Bulgaria,2011,34.6,47090,4.22
Cabo Verde,2011,10.67,1544,4.47
Canada,2011,38.73,1463521,2.91
Chile,2011,22.73,189257,3.34
Colombia,2011,54.69,258085,3.42
Costa Rica,2011,56.55,38829,4.88
Croatia,2011,34.31,50281,2.27
Cyprus,2011,18.7,24932,3.29
Denmark,2011,14.85,285373,2.76
Ecuador,2011,52.29,61537,4.47
El Salvador,2011,30.13,17767,5.13
Estonia,2011,55.51,18231,4.98
Fiji,2011,59.11,3169,7.28
Finland,2011,73.3,224704,3.42
France,2011,30.14,2429482,2.11
Germany,2011,32.74,3172475,2.08
Greece,2011,30.27,224931,3.33
Guatemala,2011,34.48,39195,6.21
Guyana,2011,94.02,3104,4.98
Hungary,2011,22.64,108995,3.93
Ireland,2011,10.56,160641,2.56
Italy,2011,30.71,1882296,2.78
Jamaica,2011,51.92,12760,7.56
Japan,2011,68.48,4781011,-0.27
Kazakhstan,2011,1.16,118711,8.42
Kuwait,2011,0.35,132729,4.84
Latvia,2011,54.25,20540,4.37
Lithuania,2011,34.68,36443,4.13
Luxembourg,2011,34.45,35639,3.41
Maldives,2011,2.73,2217,11.27
Mauritius,2011,19.21,9404,6.52
Mexico,2011,34.37,912029,3.41
Mongolia,2011,9.11,7157,8.41
Montenegro,2011,61.49,4091,3.45
Netherlands,2011,11.02,756855,2.34
New Zealand,2011,37.4,135359,4.03
Nicaragua,2011,34.34,8457,8.08
Norway,2011,33.16,380459,1.28
Oman,2011,0.01,30470,4.04
Panama,2011,58.07,30812,5.88
Paraguay,2011,48.22,28975,8.25
Poland,2011,30.52,443423,4.24
Qatar,2011,0.0,106789,1.14
Romania,2011,28.64,144053,5.79
Russian Federation,2011,49.77,1613926,8.44
Serbia,2011,31.03,39160,11.14
Seychelles,2011,73.26,818,2.56
Singapore,2011,24.84,232999,5.25
Slovenia,2011,61.91,40408,1.8
South Africa,2011,14.33,371402,5.0
Spain,2011,37.1,1220779,3.2
Sri Lanka,2011,33.63,60381,6.72
Suriname,2011,98.01,2529,17.71
Sweden,2011,68.87,488403,2.96
Switzerland,2011,31.34,565599,0.23
Thailand,2011,39.29,296317,3.81
Trinidad and Tobago,2011,45.22,15760,5.11
Ukraine,2011,16.52,134598,7.96
United Arab Emirates,2011,4.47,309296,0.88
Uruguay,2011,10.11,40537,8.09
Armenia,2012,11.6,9593,2.56
Aruba,2012,2.33,2161,0.63
Australia,2012,17.05,1213570,1.76
Austria,2012,46.9,337237,2.49
Azerbaijan,2012,12.71,48246,1.07
Bahrain,2012,0.72,21201,2.76
Barbados,2012,14.65,3936,4.53
Belgium,2012,22.78,410892,2.84
Belize,2012,59.97,1090,1.3
Brazil,2012,60.84,2090689,5.4
Brunei Darussalam,2012,72.11,13399,0.11
Bulgaria,2012,34.78,45606,2.95
Cabo Verde,2012,10.75,1451,2.54
Canada,2012,38.73,1496181,1.52
Chile,2012,22.96,208308,3.01
Colombia,2012,54.56,289205,3.17
Costa Rica,2012,56.87,43147,4.5
Croatia,2012,34.32,45644,3.41
Cyprus,2012,18.7,21666,2.39
Denmark,2012,15.04,272950,2.4
Ecuador,2012,52.12,69294,5.1
El Salvador,2012,29.92,18257,1.73
Estonia,2012,55.91,18368,3.93
Fiji,2012,59.47,3312,3.42
Finland,2012,73.41,210236,2.81
France,2012,30.29,2256566,1.95
Germany,2012,32.75,2970345,2.01
Greece,2012,30.27,199960,1.5
Guatemala,2012,34.23,42101,3.78
Guyana,2012,93.96,3453,2.39
Hungary,2012,22.67,98921,5.65
Ireland,2012,10.66,149198,1.7
Italy,2012,30.89,1695339,3.04
Jamaica,2012,52.27,13429,6.87
Japan,2012,68.47,4838844,-0.04
Kazakhstan,2012,1.18,133797,5.1
Kuwait,2012,0.35,149880,3.26
Latvia,2012,54.31,20979,2.26
Lithuania,2012,34.73,35886,3.09
Luxembourg,2012,34.45,39040,2.66
Maldives,2012,2.73,2341,10.88
Mauritius,2012,19.21,10058,3.85
Mexico,2012,34.31,928219,4.11
Mongolia,2012,9.11,9376,14.33
Montenegro,2012,61.49,3747,4.15
Netherlands,2012,10.97,702196,2.46
New Zealand,2012,37.4,142352,1.06
Nicaragua,2012,33.87,9009,7.19
Norway,2012,33.18,391753,0.7
Oman,2012,0.01,36663,2.95
Panama,2012,57.91,35562,5.7
Paraguay,2012,47.17,28068,3.68
Poland,2012,30.58,422404,3.56
Qatar,2012,0.0,121031,2.32
Romania,2012,28.99,133877,3.33
Russian Federation,2012,49.77,1736743,5.07
Serbia,2012,31.05,32360,7.33
Seychelles,2012,73.26,874,7.11
Singapore,2012,24.41,242025,4.58
Slovenia,2012,61.92,35960,2.6
South Africa,2012,14.3,354882,5.72
Spain,2012,37.08,1098863,2.45
Sri Lanka,2012,33.71,62718,7.54
Suriname,2012,97.95,3011,5.01
Sweden,2012,68.83,470596,0.89
Switzerland,2012,31.42,553743,-0.69
Thailand,2012,39.28,306613,3.01
Trinidad and Tobago,2012,45.14,15899,9.26
Ukraine,2012,16.56,155186,0.57
United Arab Emirates,2012,4.47,329707,0.66
Uruguay,2012,10.32,40652,8.1
Armenia,2013,11.59,10305,5.79
Aruba,2013,2.33,2281,-2.37
Australia,2013,17.14,1245098,2.45
Austria,2013,46.95,353223,2.0
Azerbaijan,2013,12.82,52656,2.42
Bahrain,2013,0.74,21987,3.3
Barbados,2013,14.65,3992,1.81
Belgium,2013,22.77,432083,1.11
Belize,2013,59.46,1159,0.51
Brazil,2013,60.66,2134581,6.2
Brunei Darussalam,2013,72.11,13590,0.39
Bulgaria,2013,34.95,46652,0.89
Cabo Verde,2013,10.82,1558,1.51
Canada,2013,38.73,1510718,0.94
Chile,2013,23.2,217816,1.79
Colombia,2013,54.44,301031,2.02
Costa Rica,2013,57.19,46371,5.23
Croatia,2013,34.33,48108,2.22
Cyprus,2013,18.7,20374,-0.4
Denmark,2013,15.24,290823,0.79
Ecuador,2013,51.95,76065,2.72
El Salvador,2013,29.7,18427,0.76
Estonia,2013,54.91,20361,2.78
Fiji,2013,59.84,3617,2.91
Finland,2013,73.52,219654,1.48
France,2013,30.44,2363343,0.86
Germany,2013,32.72,3141430,1.5
Greece,2013,30.27,195757,-0.92
Guatemala,2013,33.97,44831,4.34
Guyana,2013,93.9,3613,1.9
Hungary,2013,22.7,107329,1.73
Ireland,2013,10.76,165356,0.51
Italy,2013,31.08,1745292,1.22
Jamaica,2013,52.62,12786,9.34
Japan,2013,68.46,4066871,0.34
Kazakhstan,2013,1.19,161754,5.85
Kuwait,2013,0.35,153525,2.68
Latvia,2013,54.38,22750,-0.03
Lithuania,2013,34.79,39306,1.05
Luxembourg,2013,34.45,39330,1.73
Maldives,2013,2.73,2629,3.81
Mauritius,2013,19.2,11049,3.54
Mexico,2013,34.25,983213,3.81
Mongolia,2013,9.11,10040,10.49
Montenegro,2013,61.49,4126,2.21
Netherlands,2013,10.93,730501,2.51
New Zealand,2013,37.4,155412,1.13
Nicaragua,2013,33.4,9316,7.14
Norway,2013,33.21,408460,2.12
Oman,2013,0.01,39164,1.05
Panama,2013,57.76,40227,4.03
Paraguay,2013,46.13,33321,2.68
Poland,2013,30.64,441416,0.99
Qatar,2013,0.0,133736,3.22
Romania,2013,29.33,150491,3.98
Russian Federation,2013,49.77,1793853,6.75
Serbia,2013,31.06,35764,7.69
Seychelles,2013,73.26,1104,4.34
Singapore,2013,24.02,247989,2.36
Slovenia,2013,61.95,37448,1.77
South Africa,2013,14.27,325433,5.78
Spain,2013,37.08,1134673,1.41
Sri Lanka,2013,33.79,67383,6.91
Suriname,2013,97.89,3508,1.92
Sweden,2013,68.78,500123,-0.04
Switzerland,2013,31.51,568468,-0.22
Thailand,2013,39.28,316590,2.18
